name	uses	class	broad-candidate	operator-entry-point
dirlength	10	script-definition	no	-
dirtpil	5	engine-dictionary-key	no	-
disablearrowkeys	1	native-host-call	yes	0x005047c0
disabled_help_panels	1	script-definition	no	-
disabled_spells	1	script-definition	no	-
disablehotkeys	24	native-host-call	yes	0x004b2fe0
disablemap	80	native-host-call	yes	0x00486b10
disablespell	1	native-host-call	yes	0x004f04e0
disbandunit	3	script-definition	no	-
disease_id	6	script-definition	no	-
diselack_1	10	script-definition	no	-
diselack_2	1	script-definition	no	-
diselack_3	1	script-definition	no	-
diselack_4	1	script-definition	no	-
diselack_5	1	script-definition	no	-
disembark_stowaways	2	unclassified-residue	no	-
dismis_unit_index	1	script-definition	no	-
dismiss_cost_hired	6	script-definition	no	-
dismiss_expensive_units	4	script-definition	no	-
dismiss_extra_mercenaries	1	script-definition	no	-
dismiss_it?	1	script-definition	no	-
dismissunit	9	native-host-call	yes	0x0041e5e0
dispell_cost	1	script-definition	no	-
display_mode	6	script-definition	no	-
display_updates	1	script-definition	no	-
displaying	3	script-definition	no	-
displaying_army_ids	16	script-definition	no	-
displaying_building_type	89	script-definition	no	-
displaying_info_mode	4	script-definition	no	-
displaying_item	6	script-definition	no	-
displaying_mode	1	script-definition	no	-
displaying_quest_id	2	script-definition	no	-
displaypotentialresources	1	unclassified-residue	no	-
displayresources	150	script-definition	no	-
dist	4	script-definition	no	-
dist1	2	script-definition	no	-
dist2	1	script-definition	no	-
dist_rat	11	script-definition	no	-
distance_factor	5	script-definition	no	-
distractorder	1	native-host-call	yes	0x00463d40
distrust	24	script-definition	no	-
div	276	language-primitive	yes	0x004caf10
dl_index	6	script-definition	no	-
dlg	39	script-definition	no	-
dlg_backdrop	4	script-definition	no	-
dlg_bargraph	4	unclassified-residue	no	-
dlg_dd	1	script-definition	no	-
dlg_editbox	3	unclassified-residue	no	-
dlg_page	12	script-definition	no	-
dlg_text	2	script-definition	no	-
dlmov	1	script-definition	no	-
dloc	2	script-definition	no	-
dlrng	1	script-definition	no	-
dmatk	1	script-definition	no	-
dmatkack_1	9	script-definition	no	-
dmatkack_2	1	script-definition	no	-
dmatkack_3	2	script-definition	no	-
dmatkack_4	1	script-definition	no	-
dmatkack_5	1	script-definition	no	-
dmdie	1	script-definition	no	-
dmmov	1	script-definition	no	-
dmmovack_1	7	script-definition	no	-
dmmovack_2	1	script-definition	no	-
dmmovack_3	1	script-definition	no	-
dmmovack_4	1	script-definition	no	-
dmrng	1	script-definition	no	-
dmselack_1	10	script-definition	no	-
dmselack_2	1	script-definition	no	-
dmselack_3	1	script-definition	no	-
dmselack_4	1	script-definition	no	-
dmselack_5	1	script-definition	no	-
dn2_xywh	1	unclassified-residue	no	-
dn_arrow_button	2	script-definition	no	-
dn_doodad	53	script-definition	no	-
dn_xywh	52	script-definition	no	-
dnamestring	2	script-definition	no	-
dnd_doodad	3	script-definition	no	-
dnd_xywh	3	script-definition	no	-
dnl_doodad	3	script-definition	no	-
dnl_xywh	3	script-definition	no	-
do_accept_trade	2	script-definition	no	-
do_after_combat	13	script-definition	no	-
do_army	6	script-definition	no	-
do_artifact_downarrow	1	script-definition	no	-
do_artifact_uparrow	1	script-definition	no	-
do_autocalc	3	script-definition	no	-
do_barter	17	script-definition	no	-
do_button_help	16	script-definition	no	-
do_buy_potion	1	script-definition	no	-
do_buy_potion_rejuv	1	script-definition	no	-
do_cast_healing_spell	3	script-definition	no	-
do_cast_regenerate_spell	1	script-definition	no	-
do_click_on_a_quest	1	script-definition	no	-
do_close_debrief_dialog	4	script-definition	no	-
do_combat	138	script-definition	no	-
do_combat_play	1	script-definition	no	-
do_custom_special_barter	1	script-definition	no	-
do_demolish_building	1	script-definition	no	-
do_dispelled	1	script-definition	no	-
do_down	2	script-definition	no	-
do_execute	1	script-definition	no	-
do_free_prisoner	1	script-definition	no	-
do_free_prisoner_button	1	script-definition	no	-
do_free_prisoner_result	1	script-definition	no	-
do_gateway	1	script-definition	no	-
do_generic	1	script-definition	no	-
do_goto	1	script-definition	no	-
do_heal	1	script-definition	no	-
do_interrogate	1	script-definition	no	-
do_killed_vyrm_result	2	script-definition	no	-
do_knockout	1	script-definition	no	-
do_knockout_prisoners	1	script-definition	no	-
do_left_click	6	script-definition	no	-
do_lightning	1	script-definition	no	-
do_military_strength_help	7	script-definition	no	-
do_missile	1	script-definition	no	-
do_modifications	6	script-definition	no	-
do_next	1	script-definition	no	-
do_one_modification	6	script-definition	no	-
do_open_special_barter_dialog	1	script-definition	no	-
do_page_down	2	script-definition	no	-
do_page_up	2	script-definition	no	-
do_pol_affect	5	script-definition	no	-
do_pol_help	19	script-definition	no	-
do_previous	1	script-definition	no	-
do_quests	51	script-definition	no	-
do_rating	3	script-definition	no	-
do_raze_village	1	script-definition	no	-
do_rebuild_dialog	4	script-definition	no	-
do_restore_health_click	2	script-definition	no	-
do_restore_mana_click	2	script-definition	no	-
do_revenge_for_order	1	script-definition	no	-
do_select_player	16	script-definition	no	-
do_special_building_action	4	script-definition	no	-
do_special_building_callback	1	script-definition	no	-
do_spell_downarrow	1	script-definition	no	-
do_spell_uparrow	1	script-definition	no	-
do_spy	1	script-definition	no	-
do_spy_escape	1	script-definition	no	-
do_spy_result	3	script-definition	no	-
do_steal	1	script-definition	no	-
do_steal_items	1	script-definition	no	-
do_stealing_result	2	script-definition	no	-
do_swear_fealty	5	script-definition	no	-
do_teleport	2	script-definition	no	-
do_the_effect	9	script-definition	no	-
do_they_have_any_units_I_want?	1	script-definition	no	-
do_they_have_something_I_want?	1	script-definition	no	-
do_thief_steal_spy	2	script-definition	no	-
do_torture	1	script-definition	no	-
do_training?	1	script-definition	no	-
